SITECODE,SYEAR,PLOTPID,PLOTTYPE,FIELDNAME,VALUE
T01,1993,7,S,VEG_SPEC,118
T01,1993,7,S,VEG_SPEC,197
T01,1993,7,S,VEG_SPEC,222
T01,1993,7,S,VEG_SPEC,262
T01,1993,7,S,VEG_SPEC,421
T01,1993,7,S,VEG_SPEC,433
T01,1993,7,S,VEG_SPEC,445
T01,1993,7,S,VEG_SPEC,605
T01,1993,7,S,VEG_SPEC,607
T01,1993,7,S,VEG_SPEC,637
T01,1993,7,S,VEG_SPEC,749
T01,1993,7,S,VEG_SPEC,796
T01,1993,7,S,VEG_SPEC,974
T01,1993,7,S,VEG_SPEC,990
T01,1993,7,S,VEG_SPEC,1136
T01,1993,7,S,VEG_SPEC,1272
T01,1993,7,S,VEG_SPEC,1298
T01,1993,7,S,VEG_SPEC,1368
T01,1993,7,S,VEG_SPEC,1403
T01,1993,7,S,VEG_SPEC,1695
T01,1993,7,S,VEG_SPEC,2982
T01,1993,86,S,Q1,142
T01,1993,86,S,VEG_SPEC,118
T01,1993,86,S,VEG_SPEC,796
T01,1993,86,S,VEG_SPEC,981
T01,1993,86,S,VEG_SPEC,990
T01,1993,87,S,Q1,142
T01,1993,87,S,VEG_SPEC,796
T01,1993,87,S,VEG_SPEC,981
T01,1993,87,S,VEG_SPEC,990
T01,1993,91,S,VEG_SPEC,118
T01,1993,91,S,VEG_SPEC,197
T01,1993,91,S,VEG_SPEC,264
T01,1993,91,S,VEG_SPEC,419
T01,1993,91,S,VEG_SPEC,421
T01,1993,91,S,VEG_SPEC,433
T01,1993,91,S,VEG_SPEC,605
T01,1993,91,S,VEG_SPEC,1136
T01,1993,91,S,VEG_SPEC,1293
T01,1993,91,S,VEG_SPEC,2974
T01,1993,91,S,VEG_SPEC,4319
T01,1993,104,S,Q1,142
T01,1993,104,S,VEG_SPEC,796
T01,1993,104,S,VEG_SPEC,990
T01,1993,105,S,Q1,142
T01,1993,105,S,VEG_SPEC,796
T01,1993,105,S,VEG_SPEC,990
T01,1993,106,S,Q1,142
T01,1993,106,S,VEG_SPEC,796
T01,1993,106,S,VEG_SPEC,990
T01,1993,107,S,Q1,142
T01,1993,107,S,VEG_SPEC,796
T01,1993,107,S,VEG_SPEC,981
T01,1993,107,S,VEG_SPEC,990
T01,1993,108,S,Q1,142
T01,1993,108,S,VEG_SPEC,796
T01,1993,108,S,VEG_SPEC,981
T01,1993,108,S,VEG_SPEC,990
T01,1993,108,S,VEG_SPEC,1298
T01,1993,114,S,Q1,142
T01,1993,114,S,VEG_SPEC,197
T01,1993,114,S,VEG_SPEC,521
T01,1993,114,S,VEG_SPEC,605
T01,1993,114,S,VEG_SPEC,637
T01,1993,114,S,VEG_SPEC,661
T01,1993,114,S,VEG_SPEC,1136
T01,1993,114,S,VEG_SPEC,1147
T01,1993,114,S,VEG_SPEC,1368
T01,1993,114,S,VEG_SPEC,2765
T01,1993,114,S,VEG_SPEC,3046
T01,1993,129,S,Q1,142
T01,1993,129,S,VEG_SPEC,796
T01,1993,129,S,VEG_SPEC,990
T01,1993,129,S,VEG_SPEC,1078
T01,1993,130,S,Q1,142
T01,1993,130,S,VEG_SPEC,796
T01,1993,130,S,VEG_SPEC,990
T01,1993,130,S,VEG_SPEC,1298
T01,1993,131,S,Q1,142
T01,1993,131,S,VEG_SPEC,684
T01,1993,131,S,VEG_SPEC,796
T01,1993,131,S,VEG_SPEC,990
T01,1993,131,S,VEG_SPEC,1298
T01,1993,131,S,VEG_SPEC,2692
T01,1993,131,S,VEG_SPEC,2982
T01,1993,132,S,Q1,142
T01,1993,132,S,VEG_SPEC,290
T01,1993,132,S,VEG_SPEC,796
T01,1993,132,S,VEG_SPEC,990
T01,1993,132,S,VEG_SPEC,1298
T01,1993,133,S,Q1,141
T01,1993,133,S,VEG_SPEC,796
T01,1993,133,S,VEG_SPEC,981
T01,1993,133,S,VEG_SPEC,990
T01,1993,134,S,Q1,141
T01,1993,134,S,VEG_SPEC,122
T01,1993,134,S,VEG_SPEC,796
T01,1993,134,S,VEG_SPEC,960
T01,1993,134,S,VEG_SPEC,981
T01,1993,134,S,VEG_SPEC,990
T01,1993,134,S,VEG_SPEC,2982
T01,1993,135,S,Q1,141
T01,1993,135,S,VEG_SPEC,122
T01,1993,135,S,VEG_SPEC,158
T01,1993,135,S,VEG_SPEC,796
T01,1993,135,S,VEG_SPEC,990
T01,1993,136,S,Q1,141
T01,1993,136,S,VEG_SPEC,158
T01,1993,136,S,VEG_SPEC,796
T01,1993,136,S,VEG_SPEC,960
T01,1993,136,S,VEG_SPEC,990
T01,1993,136,S,VEG_SPEC,1298
T01,1993,136,S,VEG_SPEC,2982
T01,1993,137,S,Q1,141
T01,1993,137,S,VEG_SPEC,796
T01,1993,137,S,VEG_SPEC,981
T01,1993,137,S,VEG_SPEC,990
T01,1993,137,S,VEG_SPEC,1298
T01,1993,138,S,Q1,141
T01,1993,138,S,VEG_SPEC,122
T01,1993,138,S,VEG_SPEC,796
T01,1993,138,S,VEG_SPEC,959
T01,1993,138,S,VEG_SPEC,981
T01,1993,138,S,VEG_SPEC,990
T01,1993,138,S,VEG_SPEC,1298
T01,1993,139,S,Q1,141
T01,1993,139,S,VEG_SPEC,796
T01,1993,139,S,VEG_SPEC,981
T01,1993,139,S,VEG_SPEC,990
T01,1993,139,S,VEG_SPEC,1298
T01,1993,139,S,VEG_SPEC,2982
T01,1993,163,S,Q1,142
T01,1993,163,S,VEG_SPEC,796
T01,1993,163,S,VEG_SPEC,990
T01,1993,163,S,VEG_SPEC,2982
T01,1993,164,S,Q1,142
T01,1993,164,S,VEG_SPEC,796
T01,1993,164,S,VEG_SPEC,981
T01,1993,164,S,VEG_SPEC,990
T01,1993,165,S,Q1,142
T01,1993,165,S,VEG_SPEC,684
T01,1993,165,S,VEG_SPEC,796
T01,1993,165,S,VEG_SPEC,990
T01,1993,165,S,VEG_SPEC,2982
T01,1993,166,S,Q1,142
T01,1993,166,S,VEG_SPEC,796
T01,1993,166,S,VEG_SPEC,981
T01,1993,166,S,VEG_SPEC,990
T01,1993,166,S,VEG_SPEC,1298
T01,1993,166,S,VEG_SPEC,2982
T01,1993,167,S,Q1,142
T01,1993,167,S,VEG_SPEC,684
T01,1993,167,S,VEG_SPEC,796
T01,1993,167,S,VEG_SPEC,981
T01,1993,167,S,VEG_SPEC,990
T01,1993,168,S,Q1,141
T01,1993,168,S,VEG_SPEC,796
T01,1993,168,S,VEG_SPEC,960
T01,1993,168,S,VEG_SPEC,990
T01,1993,168,S,VEG_SPEC,2982
T01,1993,169,S,Q1,141
T01,1993,169,S,VEG_SPEC,122
T01,1993,169,S,VEG_SPEC,796
T01,1993,169,S,VEG_SPEC,981
T01,1993,169,S,VEG_SPEC,990
T01,1993,169,S,VEG_SPEC,2982
T01,1993,170,S,Q1,141
T01,1993,170,S,VEG_SPEC,122
T01,1993,170,S,VEG_SPEC,796
T01,1993,170,S,VEG_SPEC,990
T01,1993,171,S,Q1,141
T01,1993,171,S,VEG_SPEC,796
T01,1993,171,S,VEG_SPEC,981
T01,1993,171,S,VEG_SPEC,990
T01,1993,171,S,VEG_SPEC,1298
T01,1993,172,S,Q1,141
T01,1993,172,S,VEG_SPEC,684
T01,1993,172,S,VEG_SPEC,796
T01,1993,172,S,VEG_SPEC,959
T01,1993,172,S,VEG_SPEC,981
T01,1993,172,S,VEG_SPEC,990
T01,1993,173,S,Q1,141
T01,1993,173,S,VEG_SPEC,796
T01,1993,173,S,VEG_SPEC,981
T01,1993,173,S,VEG_SPEC,990
T01,1993,174,S,Q1,141
T01,1993,174,S,VEG_SPEC,122
T01,1993,174,S,VEG_SPEC,796
T01,1993,174,S,VEG_SPEC,990
T01,1993,197,S,Q1,142
T01,1993,197,S,VEG_SPEC,796
T01,1993,197,S,VEG_SPEC,981
T01,1993,197,S,VEG_SPEC,990
T01,1993,198,S,Q1,142
T01,1993,198,S,VEG_SPEC,796
T01,1993,198,S,VEG_SPEC,981
T01,1993,198,S,VEG_SPEC,990
T01,1993,198,S,VEG_SPEC,2982
T01,1993,199,S,Q1,142
T01,1993,199,S,VEG_SPEC,684
T01,1993,199,S,VEG_SPEC,796
T01,1993,199,S,VEG_SPEC,990
T01,1993,199,S,VEG_SPEC,1298
T01,1993,199,S,VEG_SPEC,2982
T01,1993,200,S,Q1,142
T01,1993,200,S,VEG_SPEC,680
T01,1993,200,S,VEG_SPEC,796
T01,1993,200,S,VEG_SPEC,981
T01,1993,200,S,VEG_SPEC,990
T01,1993,201,S,Q1,141
T01,1993,201,S,VEG_SPEC,122
T01,1993,201,S,VEG_SPEC,684
T01,1993,201,S,VEG_SPEC,796
T01,1993,201,S,VEG_SPEC,981
T01,1993,201,S,VEG_SPEC,988
T01,1993,201,S,VEG_SPEC,990
T01,1993,201,S,VEG_SPEC,1298
T01,1993,201,S,VEG_SPEC,2982
T01,1993,202,S,Q1,141
T01,1993,202,S,VEG_SPEC,122
T01,1993,202,S,VEG_SPEC,796
T01,1993,202,S,VEG_SPEC,990
T01,1993,202,S,VEG_SPEC,2982
T01,1993,203,S,Q1,141
T01,1993,203,S,VEG_SPEC,796
T01,1993,203,S,VEG_SPEC,960
T01,1993,203,S,VEG_SPEC,990
T01,1993,204,S,Q1,141
T01,1993,204,S,VEG_SPEC,796
T01,1993,204,S,VEG_SPEC,981
T01,1993,204,S,VEG_SPEC,990
T01,1993,205,S,Q1,141
T01,1993,205,S,VEG_SPEC,684
T01,1993,205,S,VEG_SPEC,796
T01,1993,205,S,VEG_SPEC,981
T01,1993,205,S,VEG_SPEC,990
T01,1993,205,S,VEG_SPEC,1298
T01,1993,206,S,Q1,141
T01,1993,206,S,VEG_SPEC,796
T01,1993,206,S,VEG_SPEC,981
T01,1993,206,S,VEG_SPEC,990
T01,1993,206,S,VEG_SPEC,1298
T01,1993,207,S,Q1,141
T01,1993,207,S,VEG_SPEC,796
T01,1993,207,S,VEG_SPEC,990
T01,1993,207,S,VEG_SPEC,1298
T01,1993,208,S,Q1,141
T01,1993,208,S,VEG_SPEC,122
T01,1993,208,S,VEG_SPEC,796
T01,1993,208,S,VEG_SPEC,990
T01,1993,224,S,VEG_SPEC,118
T01,1993,224,S,VEG_SPEC,122
T01,1993,224,S,VEG_SPEC,144
T01,1993,224,S,VEG_SPEC,158
T01,1993,224,S,VEG_SPEC,197
T01,1993,224,S,VEG_SPEC,415
T01,1993,224,S,VEG_SPEC,465
T01,1993,224,S,VEG_SPEC,532
T01,1993,224,S,VEG_SPEC,605
T01,1993,224,S,VEG_SPEC,680
T01,1993,224,S,VEG_SPEC,796
T01,1993,224,S,VEG_SPEC,974
T01,1993,224,S,VEG_SPEC,981
T01,1993,224,S,VEG_SPEC,990
T01,1993,224,S,VEG_SPEC,1095
T01,1993,224,S,VEG_SPEC,1136
T01,1993,224,S,VEG_SPEC,1143
T01,1993,224,S,VEG_SPEC,1293
T01,1993,224,S,VEG_SPEC,1337
T01,1993,224,S,VEG_SPEC,1350
T01,1993,224,S,VEG_SPEC,1368
T01,1993,224,S,VEG_SPEC,2660
T01,1993,224,S,VEG_SPEC,2974
T01,1993,224,S,VEG_SPEC,2982
T01,1993,224,S,VEG_SPEC,4319
T01,1993,234,S,Q1,142
T01,1993,234,S,VEG_SPEC,796
T01,1993,234,S,VEG_SPEC,981
T01,1993,234,S,VEG_SPEC,990
T01,1993,235,S,Q1,142
T01,1993,235,S,VEG_SPEC,796
T01,1993,235,S,VEG_SPEC,981
T01,1993,235,S,VEG_SPEC,990
T01,1993,236,S,Q1,142
T01,1993,236,S,VEG_SPEC,796
T01,1993,236,S,VEG_SPEC,981
T01,1993,236,S,VEG_SPEC,990
T01,1993,236,S,VEG_SPEC,2982
T01,1993,237,S,Q1,141
T01,1993,237,S,VEG_SPEC,122
T01,1993,237,S,VEG_SPEC,684
T01,1993,237,S,VEG_SPEC,796
T01,1993,237,S,VEG_SPEC,981
T01,1993,237,S,VEG_SPEC,990
T01,1993,238,S,Q1,141
T01,1993,238,S,VEG_SPEC,122
T01,1993,238,S,VEG_SPEC,796
T01,1993,238,S,VEG_SPEC,960
T01,1993,238,S,VEG_SPEC,990
T01,1993,239,S,Q1,141
T01,1993,239,S,VEG_SPEC,158
T01,1993,239,S,VEG_SPEC,796
T01,1993,239,S,VEG_SPEC,960
T01,1993,239,S,VEG_SPEC,990
T01,1993,240,S,Q1,141
T01,1993,240,S,VEG_SPEC,796
T01,1993,240,S,VEG_SPEC,981
T01,1993,240,S,VEG_SPEC,990
T01,1993,241,S,Q1,141
T01,1993,241,S,VEG_SPEC,796
T01,1993,241,S,VEG_SPEC,981
T01,1993,241,S,VEG_SPEC,990
T01,1993,242,S,Q1,141
T01,1993,242,S,VEG_SPEC,796
T01,1993,242,S,VEG_SPEC,990
T01,1993,242,S,VEG_SPEC,1298
T01,1993,243,S,Q1,141
T01,1993,243,S,VEG_SPEC,122
T01,1993,243,S,VEG_SPEC,158
T01,1993,243,S,VEG_SPEC,796
T01,1993,243,S,VEG_SPEC,960
T01,1993,243,S,VEG_SPEC,981
T01,1993,243,S,VEG_SPEC,990
T01,1993,243,S,VEG_SPEC,1298
T01,1993,244,S,Q1,141
T01,1993,244,S,VEG_SPEC,122
T01,1993,244,S,VEG_SPEC,796
T01,1993,244,S,VEG_SPEC,960
T01,1993,244,S,VEG_SPEC,990
T01,1993,244,S,VEG_SPEC,2982
T01,1993,267,S,VEG_SPEC,118
T01,1993,267,S,VEG_SPEC,158
T01,1993,267,S,VEG_SPEC,197
T01,1993,267,S,VEG_SPEC,201
T01,1993,267,S,VEG_SPEC,445
T01,1993,267,S,VEG_SPEC,465
T01,1993,267,S,VEG_SPEC,796
T01,1993,267,S,VEG_SPEC,884
T01,1993,267,S,VEG_SPEC,990
T01,1993,267,S,VEG_SPEC,1065
T01,1993,267,S,VEG_SPEC,1313
T01,1993,267,S,VEG_SPEC,1368
T01,1993,267,S,VEG_SPEC,2982
T01,1993,270,S,Q1,142
T01,1993,270,S,VEG_SPEC,796
T01,1993,270,S,VEG_SPEC,981
T01,1993,270,S,VEG_SPEC,990
T01,1993,271,S,Q1,142
T01,1993,271,S,VEG_SPEC,796
T01,1993,271,S,VEG_SPEC,981
T01,1993,271,S,VEG_SPEC,990
T01,1993,272,S,Q1,142
T01,1993,272,S,VEG_SPEC,290
T01,1993,272,S,VEG_SPEC,684
T01,1993,272,S,VEG_SPEC,796
T01,1993,272,S,VEG_SPEC,981
T01,1993,272,S,VEG_SPEC,990
T01,1993,272,S,VEG_SPEC,1273
T01,1993,273,S,VEG_SPEC,118
T01,1993,273,S,VEG_SPEC,122
T01,1993,273,S,VEG_SPEC,158
T01,1993,273,S,VEG_SPEC,197
T01,1993,273,S,VEG_SPEC,247
T01,1993,273,S,VEG_SPEC,419
T01,1993,273,S,VEG_SPEC,605
T01,1993,273,S,VEG_SPEC,680
T01,1993,273,S,VEG_SPEC,681
T01,1993,273,S,VEG_SPEC,796
